,timestamp,value,station_name,station_no,station_latitude,station_longitude
169,2010-02-01,48.0,Glenbreck,368490,55.4820219628409,-3.47775472797171
170,2010-02-01,26.4,Glenmuick No2,367371,56.95161175,-3.141253355
171,2010-02-01,0.0,Hunterston Terminal,469625,55.74447583,-4.86116797
172,2010-02-01,0.0,High Corrie (Gartmore),15166,56.1262023,-4.446294544
173,2010-02-01,37.6,Glenmore Lodge No 2,115225,57.16421784,-3.677609728
174,2010-02-01,68.0,Craigdarroch,115541,55.196659,-3.981943267
175,2010-02-01,53.2,Torwinny,234326,57.52198313,-3.446843553
176,2010-02-01,82.2,Strathkelvin House,300383,55.94300475,-4.172710018
177,2010-02-01,35.0,Glenquey,464636,56.20739317,-3.642080305
178,2010-02-01,86.4,Inveruglas,115588,56.2473573,-4.71287133
179,2010-02-01,6.8,Cullen,234192,57.68712295,-2.83323079
180,2010-02-01,65.2,Daldowie STW,327232,55.83262494,-4.122714806
181,2010-02-01,73.4,Crichton,15224,55.84509063,-2.988655721
182,2010-02-01,48.2,Gordon Arms,14984,55.5113722712304,-3.09640690612754
183,2010-02-01,62.8,Greenock,327292,55.94370132,-4.723991358
184,2010-02-01,132.4,Glen Nevis,115343,56.79923208,-5.067543348
185,2010-02-01,68.4,Culzean Castle,115544,55.35068095,-4.791520726
186,2010-02-01,98.6,Caldercruix STW,115526,55.88933558,-3.904553259
187,2010-02-01,68.0,Gogarbank,15196,55.92834002,-3.342742573
188,2010-02-01,74.4,Clachan-Seil,115534,56.30375755,-5.601429727
189,2010-02-01,74.2,Creed Bridge,234190,58.20454028,-6.424227928
190,2010-02-01,76.4,Haddington STW,15226,55.9605092339233,-2.75022457021791
191,2010-02-01,0.0,Craigenlee Croft Raingauge,513003,54.8629459170786,-5.07527966446311
192,2010-02-01,91.2,Stonyford,369551,56.84214794,-2.811870347
193,2010-02-01,99.6,Halkirk,234231,58.5154974,-3.493004244
194,2010-02-01,0.0,Glen Ample,335745,56.354577358483,-4.26999369364804
195,2010-02-01,68.6,Harelaw,335614,55.91651494,-3.086776845
196,2010-02-01,101.4,Torduff,15190,55.8968016,-3.267160193
197,2010-02-01,0.0,Hazelwood Cottage,115582,56.2671528358581,-5.49466255293018
198,2010-02-01,0.0,Dalblair,538510,55.44485443,-4.1519297
199,2010-02-01,35.2,Corrimony,115322,57.33501743,-4.699729622
200,2010-02-01,60.0,Tulchan,115247,57.399186873922,-3.44381881984428
201,2010-02-01,36.2,Gella Bridge,14916,56.77535832,-3.027929218
202,2010-02-01,52.0,Gargunnock,14892,56.13266077,-4.070571402
203,2010-02-01,50.8,Delnashaugh,234198,57.39970792,-3.357845061
204,2010-02-01,52.8,Kirkcaldy,335617,56.11765342,-3.147961765
205,2010-02-01,88.2,Glenmavis,327238,55.89359141,-4.013210328
206,2010-02-01,42.2,Glenochil,14891,56.14364525,-3.839304837
207,2010-02-01,0.0,Culloden Battlefield,498341,57.47676464,-4.09126842
208,2010-02-01,50.4,Affric Lodge,115301,57.26272622,-5.005979754
209,2010-02-01,53.8,Burnfoot (Hawknest),115523,55.66513433,-3.895712474
210,2010-02-01,0.0,Frenich Farm,552790,56.2269416185393,-4.56047224967827
211,2010-02-01,48.4,Lanark STW,115603,55.67436394,-3.795938206
212,2010-02-01,51.6,Brockhoperig,14987,55.4061285999832,-3.21151338374637
213,2010-02-01,26.6,Fourmerkland,115565,55.1650788,-3.412506453
214,2010-02-01,0.0,Kirriemuir STW,361048,56.65983513,-2.999773468
215,2010-02-01,24.0,Gairnshiel,115223,57.09199509,-3.165582141
216,2010-02-01,40.8,Gatelawbridge,115568,55.25076797,-3.730683565
217,2010-02-01,35.8,Cabrach,234176,57.34816,-3.034565786
218,2010-02-01,94.6,Slamannan,464630,55.94205217,-3.832217321
219,2010-02-01,47.8,Jedburgh,15006,55.4852912237259,-2.54668703951087
220,2010-02-01,91.4,Kirriereoch,115599,55.15077902,-4.571934377
221,2010-02-01,37.0,Kinmount House,115596,55.01095443,-3.351411196
222,2010-02-01,9.8,Dalwhinnie,302120,56.94069555,-4.238639574
223,2010-02-01,77.8,Bush,335612,55.86190844,-3.206554074
224,2010-02-01,18.4,Deskry Shiel,335582,57.18037959,-2.983867766
225,2010-02-01,18.8,Derry Lodge,454765,57.02065155,-3.58738853
226,2010-02-01,29.2,Sluggan,234314,57.2739976291366,-3.87599734801261
227,2010-02-01,0.0,Shotts WWTW,494255,55.81395203,-3.811987501
228,2010-02-01,100.0,Langwell Lodge,354621,57.9748238,-5.100589967
229,2010-02-01,30.2,Broadside,335609,56.02806207,-3.978158502
230,2010-02-01,84.0,Cheyne,335574,56.97482596,-2.266470239
231,2010-02-01,0.0,Urquhart,115406,57.59399199,-4.374371661
232,2010-02-01,99.8,Knockanrock,115363,58.03118174,-5.07294078
233,2010-02-01,0.0,Kirkwall,515885,58.9862236273856,-2.9493528634113
234,2010-02-01,0.0,Strowan,361047,56.36918493,-3.92115763
235,2010-02-01,0.0,Tomatin No2,564863,57.3381639827187,-4.01336020841456
236,2010-02-01,111.2,Inverurie,367365,57.2583172,-2.362253256
237,2010-02-01,58.4,Irvine Gailes,115589,55.58754361,-4.663320263
238,2010-02-01,91.0,Lathro,14902,56.2213192,-3.42872292
